configuracion,tablero_indice,repeticion,estado_inicial,estado_final,h_inicial,h_final,evaluaciones,resuelto,truncada,longitud_solucion,longitud_optima
temple_alpha_pequeno,0,0,0-1-6-3-4-7-8-2-5,1-4-0-3-7-6-8-2-5,14,12,201,False,False,,22
temple_alpha_pequeno,1,0,0-6-7-8-4-3-1-2-5,4-6-3-1-5-2-7-8-0,16,6,201,False,False,,28
temple_alpha_pequeno,2,0,1-0-3-2-7-4-8-5-6,1-0-3-2-7-4-8-5-6,9,9,201,False,False,,21
temple_alpha_pequeno,3,0,1-6-8-3-5-0-4-7-2,3-2-0-1-4-6-5-7-8,13,8,201,False,False,,17
temple_alpha_pequeno,4,0,1-7-4-8-2-3-0-6-5,1-4-3-2-6-7-0-8-5,14,10,201,False,False,,20
temple_alpha_pequeno,5,0,2-3-1-7-4-5-8-6-0,2-3-1-7-4-5-8-6-0,10,10,201,False,False,,16
temple_alpha_pequeno,6,0,2-7-1-6-4-8-0-3-5,4-2-1-6-5-8-7-0-3,16,9,201,False,False,,26
temple_alpha_pequeno,7,0,2-8-4-6-1-3-0-5-7,1-8-3-2-4-5-7-0-6,14,7,201,False,False,,22
temple_alpha_pequeno,8,0,2-8-7-6-3-1-5-0-4,2-1-0-5-4-8-3-7-6,19,12,201,False,False,,25
temple_alpha_pequeno,9,0,3-2-1-7-5-4-8-6-0,0-2-1-4-6-3-7-8-5,10,6,201,False,False,,22
temple_alpha_pequeno,10,0,3-5-4-6-2-7-8-0-1,4-1-0-5-8-6-7-3-2,17,10,201,False,False,,27
temple_alpha_pequeno,11,0,3-6-2-5-0-4-1-7-8,3-4-6-1-5-2-0-7-8,12,10,201,False,False,,16
temple_alpha_pequeno,12,0,4-1-5-2-6-3-0-7-8,1-7-3-4-5-0-8-2-6,10,7,201,False,False,,18
temple_alpha_pequeno,13,0,4-1-8-3-5-7-2-6-0,1-4-6-0-2-7-8-5-3,16,11,201,False,False,,24
temple_alpha_pequeno,14,0,4-3-2-1-0-6-7-5-8,4-3-2-1-5-6-7-8-0,6,4,201,False,False,,18
temple_alpha_pequeno,15,0,4-3-7-6-2-5-0-1-8,3-2-7-4-5-1-0-8-6,14,10,201,False,False,,26
temple_alpha_pequeno,16,0,4-5-0-1-2-7-8-3-6,1-2-3-8-5-6-4-7-0,12,4,201,False,False,,22
temple_alpha_pequeno,17,0,5-1-2-6-4-7-3-0-8,5-1-2-4-7-8-0-6-3,15,12,201,False,False,,23
temple_alpha_pequeno,18,0,5-1-7-8-6-3-2-4-0,5-1-7-6-2-3-0-8-4,16,14,201,False,False,,24
temple_alpha_pequeno,19,0,6-0-1-8-4-7-3-2-5,4-8-1-6-2-0-3-5-7,19,15,201,False,False,,27
temple_alpha_pequeno,20,0,6-3-7-5-1-4-8-2-0,6-7-2-1-4-3-5-0-8,16,13,201,False,False,,24
temple_alpha_pequeno,21,0,6-8-2-3-1-5-4-0-7,1-8-2-7-6-4-3-5-0,15,12,201,False,False,,21
temple_alpha_pequeno,22,0,7-0-8-6-3-2-1-4-5,1-6-3-8-5-0-4-2-7,17,9,201,False,False,,23
temple_alpha_pequeno,23,0,7-1-8-2-0-3-5-4-6,5-2-3-7-1-6-4-8-0,14,6,201,False,False,,22
temple_alpha_pequeno,24,0,7-3-2-1-0-6-8-5-4,7-3-2-1-0-6-8-5-4,10,10,201,False,False,,22
temple_alpha_pequeno,25,0,7-8-3-4-1-2-0-5-6,1-6-3-8-2-4-7-5-0,10,8,201,False,False,,22
temple_alpha_pequeno,26,0,8-1-2-3-6-0-7-5-4,8-1-2-3-6-4-7-5-0,13,12,201,False,False,,23
temple_alpha_pequeno,27,0,8-1-7-3-0-2-6-5-4,3-1-6-2-5-7-0-8-4,20,12,201,False,False,,22
temple_alpha_pequeno,28,0,8-4-1-3-5-7-0-2-6,1-0-3-4-8-6-2-5-7,16,7,201,False,False,,26
temple_alpha_pequeno,29,0,8-6-4-5-0-3-7-1-2,0-6-3-8-1-4-7-5-2,16,12,201,False,False,,26
