tipo,t0,alpha,configuracion,repeticiones,tasa_exito_promedio,tasa_exito_desviacion,tasa_exito_minima,tasa_exito_maxima,h_final_promedio,h_final_desviacion,evaluaciones_promedio,porcentaje_truncadas
t0,0.5,0.97,temple_0.5_0.97,10,5.666666666666667,4.725815626252608,0.0,16.666666666666664,4.803333333333334,1.9230155716709338,7197.166666666667,0.0
t0,1.0,0.97,temple_1.0_0.97,10,38.66666666666667,7.023769168568492,30.0,56.666666666666664,2.42,1.9706851600395232,6431.236666666667,61.33333333333333
t0,2.0,0.97,temple_2.0_0.97,10,67.66666666666667,7.461009761866467,56.666666666666664,76.66666666666667,1.1333333333333333,1.6799470891138868,4575.863333333334,32.33333333333333
t0,5.0,0.97,temple_5.0_0.97,10,67.33333333333334,8.273115763993907,56.666666666666664,83.33333333333334,1.0333333333333334,1.5595583420386114,6263.116666666667,32.666666666666664
t0,10.0,0.97,temple_10.0_0.97,10,67.99999999999999,7.023769168568492,56.666666666666664,80.0,1.05,1.6064972248134552,7563.606666666667,32.0
t0,20.0,0.97,temple_20.0_0.97,10,50.00000000000001,6.992058987801011,36.666666666666664,60.0,1.5866666666666667,1.699751615841431,8658.936666666666,50.0
t0,40.0,0.97,temple_40.0_0.97,10,17.0,6.0461190490723515,10.0,26.666666666666668,2.8533333333333335,1.5313900729584073,9475.66,83.0
alpha,10.0,0.5,temple_10.0_0.5,10,4.000000000000001,2.494438257849294,0.0,10.0,5.45,2.0349037651283,786.3366666666667,0.0
alpha,10.0,0.7,temple_10.0_0.7,10,10.333333333333332,3.1446603773522006,6.666666666666667,16.666666666666664,4.32,1.9418891145823265,1420.72,0.0
alpha,10.0,0.9,temple_10.0_0.9,10,22.666666666666664,5.120763831912406,13.333333333333334,30.0,2.966666666666667,1.7489679496459873,4425.843333333333,0.0
alpha,10.0,0.95,temple_10.0_0.95,10,54.33333333333333,7.310570733153769,40.0,63.33333333333333,1.6033333333333333,1.8090482457788557,6691.076666666667,45.666666666666664
alpha,10.0,0.97,temple_10.0_0.97,10,67.99999999999999,7.023769168568492,56.666666666666664,80.0,1.05,1.6064972248134552,7563.606666666667,32.0
