configuracion,tablero_indice,repeticion,estado_inicial,estado_final,h_inicial,h_final,evaluaciones,resuelto,truncada,longitud_solucion,longitud_optima
temple_actividad_sin_tope,0,0,0-1-6-3-4-7-8-2-5,1-2-3-4-5-6-7-8-0,14,0,4257,True,False,3834.0,22
temple_actividad_sin_tope,1,0,0-6-7-8-4-3-1-2-5,1-2-3-4-5-6-7-8-0,16,0,4834,True,False,4326.0,28
temple_actividad_sin_tope,2,0,1-0-3-2-7-4-8-5-6,0-2-3-1-5-6-7-8-4,9,4,17401,False,False,,21
temple_actividad_sin_tope,3,0,1-6-8-3-5-0-4-7-2,1-2-3-4-5-6-7-8-0,13,0,6047,True,False,5175.0,17
temple_actividad_sin_tope,4,0,1-7-4-8-2-3-0-6-5,1-2-3-4-5-6-7-8-0,14,0,6454,True,False,5510.0,20
temple_actividad_sin_tope,5,0,2-3-1-7-4-5-8-6-0,1-3-2-4-5-6-0-8-7,10,4,17401,False,False,,16
temple_actividad_sin_tope,6,0,2-7-1-6-4-8-0-3-5,1-2-3-4-5-6-7-8-0,16,0,5404,True,False,4740.0,26
temple_actividad_sin_tope,7,0,2-8-4-6-1-3-0-5-7,1-2-3-4-5-6-7-8-0,14,0,8579,True,False,6600.0,22
temple_actividad_sin_tope,8,0,2-8-7-6-3-1-5-0-4,1-2-3-4-5-6-7-8-0,19,0,5814,True,False,5079.0,25
temple_actividad_sin_tope,9,0,3-2-1-7-5-4-8-6-0,1-2-3-4-5-6-7-8-0,10,0,5277,True,False,4608.0,22
temple_actividad_sin_tope,10,0,3-5-4-6-2-7-8-0-1,1-2-3-4-5-6-7-8-0,17,0,6192,True,False,5325.0,27
temple_actividad_sin_tope,11,0,3-6-2-5-0-4-1-7-8,1-2-3-4-5-6-7-8-0,12,0,7163,True,False,5878.0,16
temple_actividad_sin_tope,12,0,4-1-5-2-6-3-0-7-8,1-2-3-4-5-6-7-8-0,10,0,3560,True,False,3212.0,18
temple_actividad_sin_tope,13,0,4-1-8-3-5-7-2-6-0,1-2-3-4-5-6-7-8-0,16,0,6817,True,False,5686.0,24
temple_actividad_sin_tope,14,0,4-3-2-1-0-6-7-5-8,1-2-3-4-5-6-7-8-0,6,0,9964,True,False,7072.0,18
temple_actividad_sin_tope,15,0,4-3-7-6-2-5-0-1-8,1-5-2-4-0-3-7-8-6,14,4,17401,False,False,,26
temple_actividad_sin_tope,16,0,4-5-0-1-2-7-8-3-6,1-2-3-4-5-6-7-8-0,12,0,6314,True,False,5368.0,22
temple_actividad_sin_tope,17,0,5-1-2-6-4-7-3-0-8,1-2-3-4-5-6-7-8-0,15,0,6477,True,False,5523.0,23
temple_actividad_sin_tope,18,0,5-1-7-8-6-3-2-4-0,1-2-3-4-5-6-7-8-0,16,0,8525,True,False,6632.0,24
